,Latitude,Longitude,City,Country Code,Temperature,Humidity,Cloudiness,Wind Speed
167,61.383591243446375,63.38631778965282,yugorsk,ru,41.91,63,32,6.17
168,-35.408312218364735,-179.27977472456882,vaini,to,78.8,88,20,9.17
169,-5.425475196101871,78.8633112287186,hithadhoo,mv,84.12,100,80,5.61
170,-35.787368459364735,0.5287155926307321,luderitz,na,71.6,68,20,4.7
171,-4.361310947894012,89.19367820319235,meulaboh,id,82.59,100,36,3.04
172,15.631267586170111,156.1926973610178,kavieng,pg,85.02,99,12,8.08
173,28.788080973367215,-21.947593246202302,los llanos de aridane,es,66.2,55,40,9.17
174,-24.301657899567488,132.7420498387222,alice springs,au,86,19,36,11.41
175,26.06719872201795,94.58756086156092,zunheboto,in,64.41,75,76,1.48
176,22.87102109694038,-4.925929257274646,taoudenni,ml,85.02,14,0,4.61
177,-61.464182958634666,-40.22586745644196,ushuaia,ar,41,86,75,27.51
178,-31.60062598961151,-96.31542186172948,lebu,cl,55.95,99,48,12.55
179,41.4724493613669,-169.44097357032004,bethel,us,15.8,72,90,13.87
180,17.78979055160974,-99.16309535861389,zitlala,mx,60.9,87,56,1.92
181,-62.255307938911145,27.22599967187631,kruisfontein,za,75.03,82,0,8.3
182,-83.26920161563083,150.46447794078847,hobart,au,57.2,93,75,19.46
183,63.77919261936401,89.54172343828913,turukhansk,ru,33,93,92,17.02
184,-56.09371789982829,-102.36135916684455,punta arenas,cl,39.2,80,40,16.11
185,71.47543235208727,-103.36571701573305,yellowknife,ca,-4.01,76,75,6.93
186,-65.93352552309922,115.57991437408663,albany,au,67.56,67,20,9.19
187,-13.092257067099723,-86.84206777152276,chicama,pe,66.2,93,40,4.7
188,45.06025882789055,100.48992066121843,hovd,mn,30.21,72,0,4.94
193,33.83956065394483,43.08014200635813,hit,iq,84.39,19,0,7.29
194,10.791683424966209,33.95468400395481,asosa,et,82.86,48,12,3.83
195,6.941566931557986,-50.921047335927796,cayenne,gf,77,94,76,2.24
196,61.94588373233955,147.78071212851535,kholodnyy,ru,26.88,86,80,12.55
197,64.49407862742316,130.60539629958356,borogontsy,ru,23.1,61,68,9.75
198,-10.302040577838014,-120.88523970785654,atuona,pf,81.69,100,12,14
199,74.16379482377008,-127.69754348086255,tuktoyaktuk,ca,-5.81,72,0,5.82
200,-69.37983283229259,97.42225225930594,busselton,au,75.3,82,0,8.52
202,59.7938890956336,69.90726900778662,gornopravdinsk,ru,40.2,71,92,7.07
203,21.205549788703607,71.71812538843338,dungarpur,in,99.69,22,24,12.44
204,23.889646834355702,-137.21862961728215,hilo,us,77,83,90,3.36
205,28.693333838073173,28.745664286518945,matay,eg,75.48,44,0,16.24
206,-1.3816334984616674,15.702322067624948,gamboma,cg,75.93,100,76,4.61
207,-11.531149764698526,-26.288584107505557,tamandare,br,73.32,94,80,2.93
208,41.0544258252427,101.88945351232417,zhangye,cn,29.22,67,76,19.93
209,39.60436036657575,81.25533567092884,aksu,cn,56.31,64,56,6.51
211,-73.22724540060453,118.26951731507705,albany,au,67.56,67,20,9.19
212,1.468354220281853,-159.29438821078227,hilo,us,77,83,90,3.36
214,74.89268791550467,-5.303978118488004,klaksvik,fo,33.8,86,68,20.8
215,-34.069496468192966,-5.260864133605992,jamestown,sh,74.4,100,8,11.21
216,-9.975354618020688,-78.13913916811063,huarmey,pe,64.95,87,76,2.59
217,8.046184117727563,-11.405586504715131,baoma,sl,79.8,69,0,4.61
218,-8.214166347456725,-89.76579400985464,san cristobal,ec,58.92,100,92,2.26
219,-76.05462041484827,-25.97909714834151,ushuaia,ar,41,86,75,27.51
222,-28.58669029860424,10.349788435636498,luderitz,na,71.6,68,20,4.7
223,-37.19252055725501,110.09779728640268,busselton,au,75.3,82,0,8.52
225,-88.92325776367201,80.08682534867302,busselton,au,75.3,82,0,8.52
226,-25.980960812086693,36.42475128480271,inhambane,mz,86,74,40,4.7
227,26.181517909667306,-162.9341585066022,kapaa,us,75.18,88,90,14.99
228,51.87078819013979,42.07340082841387,uvarovo,ru,36.24,94,0,3.15
229,62.42153930508928,-162.95218760609254,bethel,us,15.8,72,90,13.87
230,-53.89384588140635,-55.83980453267051,ushuaia,ar,41,86,75,27.51
231,-75.392016971642,19.82544534761101,bredasdorp,za,73.4,64,48,3.36
232,-15.06735771776728,59.55119839794139,cap malheureux,mu,75.2,94,75,6.93
233,-0.2269485470815482,-128.81234600542325,atuona,pf,81.69,100,12,14
234,-43.39219532990307,-65.60371612139454,trelew,ar,53.34,27,0,21.5
236,20.83338616531708,-168.33292723755616,kapaa,us,75.18,88,90,14.99
237,47.148114978071334,87.34548043479452,altay,cn,30.75,64,0,3.04
238,53.17753110487462,-27.042679715330507,grindavik,is,30.2,63,20,13.87
